,,,Average width,Average width,Average width,Std width,Std width,Std width,Coverage,Coverage,Coverage,Spearman Correlation,Spearman Correlation,Spearman Correlation,Pearson Correlation,Pearson Correlation,Pearson Correlation
J+GP,2.5,1.0,0.13697862263615673,0.17298027354338774,0.2913886482777547,0.014007696413887705,0.016617424601096477,0.0251667937926592,0.9083333333333333,0.9666666666666667,0.9833333333333333,0.2692753599476256,0.2756713030618577,0.28849383325491423,0.17842851163034637,0.18869433720542447,0.18941206719590759
J+GP,2.5,1.5,0.13575320984315983,0.17260928852532995,0.28768281323816086,0.018497419846821465,0.02273406407227179,0.035958722339499476,0.9083333333333333,0.9666666666666667,0.9833333333333333,0.2743984045377032,0.28021723900831136,0.2820262236906291,0.19229958071518838,0.1976587750935283,0.19164677885832865
J-minmax-GP,0.5,0.5,0.13880944107947618,0.17913260876930426,0.3054045236025054,0.010049451847894483,0.011237338096811716,0.01544657676831779,0.9,0.975,0.9916666666666667,0.25067361216676753,0.2657966637564716,0.27606482434364626,0.15800898032248145,0.174315210768221,0.18703602553721152
J-minmax-GP,0.5,1.0,0.1406877274875985,0.19880594627871911,0.30695753895308847,0.010389620925793602,0.0129766331346205,0.018381079616944213,0.875,0.95,0.9916666666666667,0.2068347689904533,0.21248705297380416,0.23214613108438895,0.19319758560625414,0.2102175245972373,0.23792563520570578
J-minmax-GP,0.5,1.5,0.13743034004517257,0.19624146619328373,0.30358809018613825,0.013101239220077523,0.017409113920444662,0.025740120453834277,0.875,0.95,0.9916666666666667,0.21804286559475533,0.23310290760608368,0.2513983554504561,0.21800009399417306,0.24265858804277732,0.2499658009535139
J-minmax-GP,1.5,0.5,0.14393237998858013,0.20201914284932734,0.3132113125263658,0.008025796241376547,0.009021037231254822,0.011537583855005962,0.8916666666666667,0.95,0.9916666666666667,0.16511693669712355,0.19105471915120606,0.21454865963812772,0.1410827145382324,0.1665957030896101,0.19085040255621144
J-minmax-GP,1.5,1.0,0.13624811466456924,0.17706397062834073,0.2980697551305617,0.013581956143592575,0.016333856763711956,0.024971609549970637,0.8916666666666667,0.9583333333333334,0.9916666666666667,0.2635231115576647,0.2635727218558851,0.2808669615274757,0.18010124813786285,0.19796176170778423,0.19241069194731528
J-minmax-GP,1.5,1.5,0.13198360054324756,0.17448733835088376,0.2916978731540725,0.017566138548265633,0.02213527794254212,0.035301033054375555,0.9,0.9583333333333334,0.9833333333333333,0.26597492392854205,0.28065443607310686,0.28080167846988974,0.19494870569180686,0.1986569853513152,0.2047355590508942
J-minmax-GP,2.5,0.5,0.13559736984502452,0.18404487876971717,0.31152682274540283,0.009822676654066859,0.011177369462441201,0.015173684672248082,0.8916666666666667,0.975,0.9916666666666667,0.23247320897573198,0.24826547470343804,0.2624932980154357,0.15918920800333455,0.17326672442348603,0.19396571475391994
J-minmax-GP,2.5,1.0,0.13697862263615673,0.17298027354338774,0.2913886482777547,0.014007696413887705,0.016617424601096477,0.0251667937926592,0.9083333333333333,0.9666666666666667,0.9833333333333333,0.26793261228770326,0.27184597649723463,0.2846571229701471,0.18354500355608822,0.187323110062783,0.19280703201591878
J-minmax-GP,2.5,1.5,0.13575320984315983,0.17260928852532995,0.28768281323816086,0.018497419846821465,0.02273406407227179,0.035958722339499476,0.9083333333333333,0.9666666666666667,0.9833333333333333,0.2793203423068394,0.2876461441644366,0.2801514780247585,0.18609105734787415,0.1869736154183922,0.19212358255977177
